id,kind,cat_or_group,subscale,component_class,sign,is_filler,n_anchors,likert_raw,endorsement,willingness,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,7,0.0395316444337368,0.0395316444337368,,-0.5908541677033743
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,7,0.01843925565481186,5.981560744345188,,2.4010286322685825
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,7,0.03994148224592209,0.03994148224592209,,-1.7164043216216083
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,7,0.03361356630921364,0.03361356630921364,,-1.243695494268132
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,7,0.023124653846025467,5.9768753461539745,,-0.8375852266609414
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,7,0.04245655983686447,0.04245655983686447,,-1.9692744560579576
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,7,0.10540395975112915,5.894596040248871,,0.39626319645991936
acme_01,battery,ACME,COG,adaptive,-1.0,False,5,0.009548310190439224,3.9904516898095608,,-1.325584531007853
acme_02,battery,ACME,DIS,pathological,-1.0,False,5,0.040298815816640854,3.959701184183359,,-0.03590110850965633
acme_03,battery,ACME,COG,adaptive,1.0,False,5,0.011279137805104256,0.011279137805104256,,-0.7306154110602998
acme_04,battery,ACME,COG,adaptive,1.0,False,5,0.018537098541855812,0.018537098541855812,,-0.7770434686562413
acme_05,battery,ACME,DIS,pathological,-1.0,False,5,0.0365755558013916,3.9634244441986084,,-0.7522998119108664
acme_06,battery,ACME,DIS,pathological,-1.0,False,5,0.02929077111184597,3.970709228888154,,-0.7037310208049656
acme_07,battery,ACME,RES,,1.0,False,5,0.026154635474085808,0.026154635474085808,,-1.534851257305875
acme_08,battery,ACME,RES,,1.0,False,5,0.03919985517859459,0.03919985517859459,,-0.8343156021317744
acme_09,battery,ACME,COG,adaptive,1.0,False,5,0.014328608289361,0.014328608289361,,-0.5472503527687247
acme_10,battery,ACME,DIS,pathological,-1.0,False,5,0.05735810473561287,3.942641895264387,,0.30815200731133097
acme_11,battery,ACME,DIS,pathological,-1.0,False,5,0.015941698104143143,3.984058301895857,,0.23074360069369027
acme_12,battery,ACME,RES,,-1.0,False,5,0.02079782634973526,3.9792021736502647,,-0.4487222229711687
acme_13,battery,ACME,RES,,-1.0,False,5,0.0134162912145257,3.9865837087854743,,-0.04183255201080893
acme_14,battery,ACME,COG,adaptive,-1.0,False,5,0.011791610158979893,3.98820838984102,,-1.1047272668167771
acme_15,battery,ACME,COG,adaptive,1.0,False,5,0.014222059398889542,0.014222059398889542,,-1.5424838749945575
acme_16,battery,ACME,COG,adaptive,1.0,False,5,0.01215207390487194,0.01215207390487194,,-0.19388009068052559
acme_17,battery,ACME,RES,,-1.0,False,5,0.011459880508482456,3.9885401194915175,,0.2886660981793254
acme_18,battery,ACME,DIS,pathological,-1.0,False,5,0.022626593708992004,3.977373406291008,,-0.8027976457159438
acme_19,battery,ACME,DIS,pathological,-1.0,False,5,0.027833662927150726,3.9721663370728493,,-1.2179428871078573
acme_20,battery,ACME,DIS,pathological,-1.0,False,5,0.050193868577480316,3.9498061314225197,,-0.2793928247412589
acme_21,battery,ACME,DIS,pathological,-1.0,False,5,0.029229365289211273,3.9707706347107887,,-0.6331148013323005
acme_22,battery,ACME,RES,,-1.0,False,5,0.025849957019090652,3.9741500429809093,,-0.7923933060556054
acme_23,battery,ACME,RES,,1.0,False,5,0.009982669726014137,0.009982669726014137,,-1.1297284746515621
acme_24,battery,ACME,RES,,-1.0,False,5,0.03785216063261032,3.9621478393673897,,-1.172461359656944
acme_25,battery,ACME,COG,adaptive,1.0,False,5,0.009119661524891853,0.009119661524891853,,-0.4883362189805869
acme_26,battery,ACME,DIS,pathological,-1.0,False,5,0.029337864369153976,3.970662135630846,,-0.6530504275327773
acme_27,battery,ACME,DIS,pathological,-1.0,False,5,0.06561220437288284,3.934387795627117,,0.63467353087098
acme_28,battery,ACME,RES,,1.0,False,5,0.10858400166034698,0.10858400166034698,,-0.18520421202995063
acme_29,battery,ACME,RES,,1.0,False,5,0.037206053733825684,0.037206053733825684,,-1.512896362918322
acme_30,battery,ACME,RES,,1.0,False,5,0.040238503366708755,0.040238503366708755,,-1.264090647819736
acme_31,battery,ACME,COG,adaptive,-1.0,False,5,0.011572159826755524,3.9884278401732445,,-0.9060560734964487
acme_32,battery,ACME,RES,,-1.0,False,5,0.012553948909044266,3.9874460510909557,,0.44340315899651356
