id,kind,cat_or_group,subscale,component_class,sign,is_filler,n_anchors,likert_raw,likert_endorse,binary_raw,binary_endorse,willingness,probe_raw
aaq2_01,battery,experiential_avoidance,,pathological,1.0,False,7,4.768722913701528,4.768722913701528,5.689687728881836,5.689687728881836,,1.252260597767569
aaq2_02,battery,experiential_avoidance,,pathological,-1.0,False,7,4.734666180959407,1.2653338190405927,7.381463527679443,-7.381463527679443,,1.4970179091859097
aaq2_03,battery,experiential_avoidance,,pathological,1.0,False,7,4.775449678177199,4.775449678177199,8.407197952270508,8.407197952270508,,0.6601895687598442
aaq2_04,battery,experiential_avoidance,,pathological,1.0,False,7,4.732647623466669,4.732647623466669,4.191898822784424,4.191898822784424,,0.6980715032360081
aaq2_05,battery,experiential_avoidance,,pathological,-1.0,False,7,4.599469477572386,1.4005305224276139,3.5492238998413086,-3.5492238998413086,,-0.1200997694172361
aaq2_06,battery,experiential_avoidance,,pathological,1.0,False,7,4.739582125421682,4.739582125421682,4.558380603790283,4.558380603790283,,0.019591643944270487
aaq2_07,battery,experiential_avoidance,,pathological,-1.0,False,7,4.651903738757988,1.348096261242012,6.121374607086182,-6.121374607086182,,0.7720872467291908
acme_01,battery,ACME,COG,adaptive,-1.0,False,5,1.8129037601115627,2.1870962398884375,6.779731273651123,-6.779731273651123,,-0.45938568229080223
acme_02,battery,ACME,DIS,pathological,-1.0,False,5,1.176893233778766,2.823106766221234,1.9459657669067383,-1.9459657669067383,,-0.7178863678369152
acme_03,battery,ACME,COG,adaptive,1.0,False,5,2.1869101880762374,2.1869101880762374,6.373271942138672,6.373271942138672,,-0.3709438148062474
acme_04,battery,ACME,COG,adaptive,1.0,False,5,1.510134878062014,1.510134878062014,4.4232497215271,4.4232497215271,,-1.187128423649928
acme_05,battery,ACME,DIS,pathological,-1.0,False,5,1.510149619776444,2.4898503802235563,5.030572414398193,-5.030572414398193,,-0.7745020624445962
acme_06,battery,ACME,DIS,pathological,-1.0,False,5,1.2294322049171953,2.7705677950828047,3.3216114044189453,-3.3216114044189453,,-1.6709492756431281
acme_07,battery,ACME,RES,,1.0,False,5,2.641180933767114,2.641180933767114,9.147074699401855,9.147074699401855,,0.5071906067316299
acme_08,battery,ACME,RES,,1.0,False,5,2.430569500446028,2.430569500446028,9.071409225463867,9.071409225463867,,0.2472086561200295
acme_09,battery,ACME,COG,adaptive,1.0,False,5,1.9998437459876275,1.9998437459876275,7.355531215667725,7.355531215667725,,0.7818806019384894
acme_10,battery,ACME,DIS,pathological,-1.0,False,5,1.8618832647822712,2.1381167352177286,5.714980602264404,-5.714980602264404,,1.1839382566083303
acme_11,battery,ACME,DIS,pathological,-1.0,False,5,0.8909125903004994,3.1090874096995007,3.5174953937530518,-3.5174953937530518,,0.12289573413143895
