task_id,mu,sigma
competition_math_5816,0.0,0.9966888270369852
alpaca_4367,-2.561167098369642,0.9647594832822828
alpaca_10454,1.3191986156099489,0.7623188533167871
alpaca_14,-0.9384505137000028,0.935887902062893
bailbench_740,-4.746929015280349,0.9980675067980573
alpaca_8957,2.558071074234615,0.798353444220033
stresstest_85_357_value1,-4.727856838057145,1.0
wildchat_27620,4.477173078915892,0.8238509878084663
stresstest_79_41_value1,0.525317426450794,1.0
alpaca_3118,0.8247688720808466,0.8941858422474612
alpaca_2332,2.7720354459624885,0.8022609454981715
alpaca_13737,0.48794715669037836,0.9418868890576193
competition_math_10844,0.6523027843835002,1.0107455825592493
alpaca_8831,7.625754805302125,1.039552416066333
wildchat_23685,8.933503496393067,0.9879814090279311
competition_math_9845,1.0274461913492305,0.9904222341409517
competition_math_3072,-6.610283551584461,0.8916252769959765
wildchat_23447,4.267107451325258,0.8387814858672187
alpaca_7475,2.6617221256850385,0.9984860133737894
alpaca_1555,1.153818632823068,0.9743233446830964
wildchat_17403,-1.4081738712528287,0.9797737508619458
competition_math_11394,-2.5594774361518855,0.9616258535473454
competition_math_5197,6.303856503944334,0.9999873086791022
alpaca_5876,8.093483712698381,0.8455081812707711
competition_math_6548,0.0,1.0
wildchat_62238,-1.7044902328671359,0.6278998932178399
alpaca_12719,10.0,1.0
wildchat_63245,-10.0,0.9999937721570542
wildchat_59171,7.073019001662705,0.7903963948886918
bailbench_811,-6.353793110642876,0.9728870176818697
alpaca_7886,-3.5568381349574043,0.7242113226406964
stresstest_93_324_value2,-3.5747454767115663,0.9900149049223985
alpaca_13347,9.999352322454943,0.9443313058627063
alpaca_3321,-4.863305342989751,0.8657511530809128
competition_math_1932,1.613220257073875,0.9385170279718204
bailbench_630,-3.907968929637458,0.9771684432995441
competition_math_2482,-1.1967846281340955,0.728044169098766
wildchat_70685,1.1563029864381733,0.7820002431878664
competition_math_9819,4.713797096395805,0.9963302742971418
wildchat_25367,-1.0210662198601104,0.674690077849077
alpaca_7726,1.8921299569108396,0.7397298449261275
wildchat_77256,-3.6423756720197407,0.8347743632758582
wildchat_11052,-0.1780692319674168,0.9829962434317604
stresstest_5_1072_neutral,-1.575953275793128,0.9999999857470449
alpaca_12863,-6.802044676440853,0.9875731192296615
bailbench_159,1.789601336287156,0.838726927750838
competition_math_12376,-3.28850302283185,0.9518287887125677
wildchat_42040,-3.967697160887436,1.0399585405163607
alpaca_5133,-4.727933997096353,0.999973001228979
wildchat_45063,-3.6779725798261866,0.9997141308478151
alpaca_4988,9.845600374504693,1.0293203729848912
stresstest_15_711_value1,5.552565196648639,1.018775268356001
alpaca_6790,-3.1290375593338644,1.0068386233294964
alpaca_5143,0.21029201293690675,0.7349081658672775
alpaca_2990,-0.9792307798825766,0.9801813623007152
competition_math_1022,6.219601999251807,0.967929154995511
alpaca_7383,-1.876006612043924e-05,0.99996558582643
alpaca_1270,-5.379061525160639,0.8674439873023418
stresstest_92_1034_value1,-3.041777076905078,0.9840428165882732
alpaca_8312,0.9536574113278111,0.9518832364197098
alpaca_8470,-8.04683937289433,0.8560870223756243
alpaca_7274,4.048235221045658,0.6790313451887859
wildchat_45433,-9.573244810196066,0.9804295922843969
competition_math_10374,2.18075875333479,1.0171758933562405
alpaca_4508,7.234350896202005,0.849486902648492
stresstest_76_1263_neutral,-5.107114608231152,0.9659034290024752
bailbench_1269,-4.965496058830299,0.9323733877394123
bailbench_542,-3.152811995837156,0.9997940529225747
alpaca_8475,-5.09194346600452,0.9421161293904224
competition_math_9557,1.8621535879512103,0.9947195247685413
wildchat_15201,-3.5014318079864113,0.8076568711732237
alpaca_13139,8.838530958947748,0.9980056339978001
stresstest_84_1399_value1,-1.2423209722288682,0.9576286397774324
alpaca_9854,-1.7823244660585147,0.8537062676076776
competition_math_2583,4.4364767908037015,0.7902872782621729
wildchat_48041,-1.0270154289058133,0.9825801007236494
wildchat_6498,-2.298152976345828,0.6944466305253231
alpaca_8771,-0.5166359025033619,0.946959916585474
competition_math_6675,-1.6136344437578103,0.9971413044296964
wildchat_54278,6.966665135069618,0.8843827425575295
wildchat_2487,0.5003724850422226,0.9745566002112498
alpaca_11534,5.138320692256263,0.7960557842040706
wildchat_59001,-0.13469454490796945,0.9725046035511171
alpaca_12520,-1.2457683218525066,0.8485086104430606
wildchat_39664,1.2625913823047983,0.9728025957135049
alpaca_365,-1.282139114055367,0.9220344088892088
wildchat_28141,0.0,1.0
competition_math_9654,-0.4997985922678744,1.0001795112548426
stresstest_84_1228_value1,6.771615937452394,1.0394017546853465
competition_math_1524,-0.29710636092153864,0.9229356880090516
bailbench_910,-6.842276686567789,0.9944391515206048
wildchat_60651,0.794374146294544,0.9211614750564237
wildchat_36553,-1.7134808805347295,0.7031742170622559
wildchat_59025,2.1713334383006058,0.9918951214221813
wildchat_23686,-6.506411924106792,0.9870906910818557
competition_math_683,1.4347496521485288,0.883686513665681
stresstest_73_1300_neutral,-2.50150860938793,0.9924961893968295
competition_math_4712,-1.5759544936093055,0.9999997506912551
stresstest_93_1082_value1,1.906799591330934,0.8801591513918037
wildchat_78425,-3.5207663826469604,0.7030611871660866
competition_math_6939,0.0,1.0
wildchat_78081,-1.0905559149541557,0.9996281203783004
wildchat_47355,-4.7346096335158006,0.9994156334519645
alpaca_14529,0.5075669996347827,1.1386853766420746
wildchat_63331,8.693885457068903,0.8427857708437743
wildchat_63365,-8.08729735947303,0.8969870273150918
wildchat_48370,-3.511221431840319,0.6907461854273513
wildchat_37341,5.033322731931722,0.9295159699695039
alpaca_13201,-2.9887714376518466,0.8852369687893177
alpaca_2219,4.727856838057145,1.0
alpaca_10133,-2.661466427844364,0.8164635076251547
alpaca_4472,-0.8567271022797863,0.8468698163112646
alpaca_11911,-2.9616715202020982,0.7564282441643944
alpaca_4077,-1.286987478429287,0.9797798439870057
wildchat_12270,0.0,1.0
wildchat_62588,0.21776915856010787,0.6810436318002313
wildchat_3691,6.022139491441388,0.8289813206522666
alpaca_6834,-3.8757837443044076,0.9381301981632798
bailbench_1423,-4.731576803590954,1.0001321590834573
alpaca_9565,-3.957903338244189,0.9195712511169324
wildchat_61224,1.788857500211907,0.9848282193254548
wildchat_4640,4.856003110291189,0.9844534058559745
competition_math_1946,0.7148264180441564,0.8645940537256446
alpaca_318,3.9202549234884123,0.9224669759984806
alpaca_10551,-6.469540253593563,0.9449734712531539
alpaca_253,2.768080312449604,0.995691640298711
stresstest_98_39_neutral,5.770836391979227,0.9787500496433927
stresstest_48_65_value1,-6.063463477528408,0.9866276038211163
alpaca_7053,5.189349337002899,0.9900530891273417
alpaca_3958,0.40097513199188023,0.6952910490727504
bailbench_449,-5.544358027819813,0.9916167577224081
stresstest_7_310_value2,-4.219478818235657,0.9980591002178077
bailbench_592,-4.727974867956664,0.9998770249193348
competition_math_5383,2.189265667295914,0.8749855620021076
alpaca_7409,0.6969121225412283,0.9782149448060344
bailbench_1179,-3.1519045587047674,1.0
wildchat_62273,3.1962469823947406,0.8387917785725921
wildchat_16520,-2.9887315290571133,0.7240056133269495
competition_math_7160,7.030118571888013,0.9627291772822812
alpaca_10495,-3.2365288967928887,0.7992701857655672
competition_math_3399,3.4549554558856292,0.7455373835842066
wildchat_30136,4.728474258704583,0.9999320266277683
competition_math_154,6.5683889532069175,0.8781323608588748
wildchat_41647,4.727859520534627,0.9999997504242256
wildchat_45307,-5.197080915945366,0.9879781832853065
alpaca_5835,2.0312668285666655,0.9888064270654602
alpaca_11700,-6.86326080410155,0.7334597354154608
bailbench_1121,-2.2047172035642855,0.9849152095681435
wildchat_37331,0.0,1.0
wildchat_72691,4.939240400734389,0.9789012302201127
competition_math_750,9.092811855873677,0.9327250550808736
competition_math_12089,-1.575954838488615,0.9999996614213067
stresstest_17_562_value1,6.304640172640514,0.9999559363436723
alpaca_10222,-4.1763512542835475,0.9804983085899956
bailbench_1559,-3.351780778901138,1.0002208626812186
alpaca_6816,-3.8209300961370976,0.8650078222638654
bailbench_903,-3.9145461072402026,0.9513806752042011
stresstest_50_979_neutral,1.2360619610041839,0.9124385642836695
wildchat_35047,-5.371271293288837,0.9875530751565921
wildchat_53688,-6.799601631629402,0.9885662922623576
